
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
263 0.4 2.7063E-08 3.3854E-10 0.6
264 0.4 2.7063E-08 3.3324E-10 0.61
265 0.4 2.708E-08 3.3439E-10 0.62
266 0.4 2.7079E-08 3.348E-10 0.63
267 0.4 2.7091E-08 3.3409E-10 0.64
268 0.4 2.7065E-08 3.3435E-10 0.65
269 0.4 2.7055E-08 3.3765E-10 0.66
270 0.4 2.7063E-08 3.4223E-10 0.67
271 0.4 2.7065E-08 3.3877E-10 0.68
272 0.4 2.7064E-08 3.3981E-10 0.69
273 0.4 2.7072E-08 3.3895E-10 0.7
274 0.4 2.7074E-08 3.3871E-10 0.71
275 0.4 2.7077E-08 3.3575E-10 0.72
276 0.4 2.707E-08 3.3284E-10 0.73
277 0.4 2.7078E-08 3.3491E-10 0.74
278 0.4 2.7061E-08 3.3201E-10 0.75
279 0.4 2.7068E-08 3.319E-10 0.76
280 0.4 2.7063E-08 3.3264E-10 0.77
281 0.4 2.7073E-08 3.3717E-10 0.78
282 0.4 2.7079E-08 3.362E-10 0.79
283 0.4 2.7065E-08 3.3498E-10 0.8
284 0.4 2.7072E-08 3.3521E-10 0.81
285 0.4 2.7074E-08 3.378E-10 0.82
286 0.4 2.7078E-08 3.3978E-10 0.83
287 0.4 2.7078E-08 3.3995E-10 0.84
288 0.4 2.7075E-08 3.3723E-10 0.85
289 0.4 2.7076E-08 3.3612E-10 0.86
290 0.4 2.7091E-08 3.3607E-10 0.87
291 0.4 2.7093E-08 3.3103E-10 0.88
292 0.4 2.7087E-08 3.3002E-10 0.89
293 0.4 2.7076E-08 3.3391E-10 0.9
294 0.4 2.7089E-08 3.3467E-10 0.91
295 0.4 2.7088E-08 3.3211E-10 0.92
296 0.4 2.7085E-08 3.3369E-10 0.93
297 0.4 2.7094E-08 3.3489E-10 0.94
298 0.4 2.7108E-08 3.3629E-10 0.95
299 0.4 2.7087E-08 3.3636E-10 0.96
300 0.4 2.7087E-08 3.3505E-10 0.97
301 0.4 2.7093E-08 3.3574E-10 0.98
302 0.4 2.7088E-08 3.3507E-10 0.99
303 0.4 2.7107E-08 3.3513E-10 1
304 0.6 -1.4479E-09 2.7744E-09 0
305 0.6 7.871E-08 2.67E-09 0.01
306 0.6 1.5355E-07 2.5717E-09 0.02
307 0.6 2.2365E-07 2.4755E-09 0.03
308 0.6 2.8807E-07 2.3916E-09 0.04
309 0.6 3.4806E-07 2.3096E-09 0.05
310 0.6 4.0267E-07 2.2305E-09 0.06
311 0.6 4.5288E-07 2.1562E-09 0.07
312 0.6 4.979E-07 2.0889E-09 0.08
313 0.6 5.3869E-07 2.0331E-09 0.09
314 0.6 5.748E-07 1.9756E-09 0.1
315 0.6 6.0714E-07 1.9246E-09 0.11
316 0.6 6.3526E-07 1.8779E-09 0.12
317 0.6 6.5975E-07 1.8407E-09 0.13
318 0.6 6.8063E-07 1.8093E-09 0.14
319 0.6 6.9822E-07 1.7813E-09 0.15
320 0.6 7.1294E-07 1.7559E-09 0.16
321 0.6 7.2503E-07 1.7343E-09 0.17
322 0.6 7.3481E-07 1.72E-09 0.18
323 0.6 7.4259E-07 1.7074E-09 0.19
324 0.6 7.4872E-07 1.6979E-09 0.2
325 0.6 7.5353E-07 1.6876E-09 0.21
326 0.6 7.5693E-07 1.6833E-09 0.22
327 0.6 7.5961E-07 1.6749E-09 0.23
328 0.6 7.6148E-07 1.665E-09 0.24
329 0.6 7.6289E-07 1.6681E-09 0.25
330 0.6 7.6396E-07 1.6686E-09 0.26
331 0.6 7.644E-07 1.6688E-09 0.27
332 0.6 7.6514E-07 1.6616E-09 0.28
333 0.6 7.6532E-07 1.6591E-09 0.29
334 0.6 7.6611E-07 1.6559E-09 0.3
335 0.6 7.6582E-07 1.6572E-09 0.31
336 0.6 7.6598E-07 1.6566E-09 0.32
337 0.6 7.6602E-07 1.6561E-09 0.33
338 0.6 7.6606E-07 1.6564E-09 0.34
339 0.6 7.6623E-07 1.6576E-09 0.35
340 0.6 7.6603E-07 1.6577E-09 0.36
341 0.6 7.6626E-07 1.6576E-09 0.37
342 0.6 7.661E-07 1.6651E-09 0.38
343 0.6 7.6627E-07 1.6673E-09 0.39
344 0.6 7.6648E-07 1.6606E-09 0.4
345 0.6 7.6643E-07 1.657E-09 0.41
346 0.6 7.6633E-07 1.6559E-09 0.42
347 0.6 7.6635E-07 1.6622E-09 0.43
348 0.6 7.6648E-07 1.6614E-09 0.44
349 0.6 7.6646E-07 1.6615E-09 0.45
350 0.6 7.6669E-07 1.6584E-09 0.46
351 0.6 7.6658E-07 1.6625E-09 0.47
352 0.6 7.6677E-07 1.659E-09 0.48
353 0.6 7.6666E-07 1.6577E-09 0.49
354 0.6 7.6662E-07 1.6589E-09 0.5
355 0.6 7.6681E-07 1.6602E-09 0.51
356 0.6 7.6661E-07 1.6615E-09 0.52
357 0.6 7.6682E-07 1.6582E-09 0.53
358 0.6 7.6682E-07 1.6571E-09 0.54
359 0.6 7.668E-07 1.6582E-09 0.55
360 0.6 7.6682E-07 1.6597E-09 0.56
361 0.6 7.6684E-07 1.6537E-09 0.57
362 0.6 7.6679E-07 1.6525E-09 0.58
363 0.6 7.6698E-07 1.6555E-09 0.59
364 0.6 7.6674E-07 1.6554E-09 0.6
365 0.6 7.6685E-07 1.6561E-09 0.61
366 0.6 7.6674E-07 1.6545E-09 0.62
367 0.6 7.6669E-07 1.6525E-09 0.63
368 0.6 7.6671E-07 1.6562E-09 0.64
369 0.6 7.6644E-07 1.6536E-09 0.65
370 0.6 7.6658E-07 1.6567E-09 0.66
371 0.6 7.6638E-07 1.6507E-09 0.67
372 0.6 7.6638E-07 1.6535E-09 0.68
373 0.6 7.6668E-07 1.6566E-09 0.69
374 0.6 7.6682E-07 1.6562E-09 0.7
375 0.6 7.6682E-07 1.6584E-09 0.71
376 0.6 7.6676E-07 1.6573E-09 0.72
377 0.6 7.6676E-07 1.6584E-09 0.73
378 0.6 7.6694E-07 1.6561E-09 0.74
379 0.6 7.6681E-07 1.6495E-09 0.75
380 0.6 7.6664E-07 1.6501E-09 0.76
381 0.6 7.6656E-07 1.6519E-09 0.77
382 0.6 7.667E-07 1.6497E-09 0.78
383 0.6 7.6675E-07 1.6498E-09 0.79
384 0.6 7.6667E-07 1.6514E-09 0.8
385 0.6 7.6664E-07 1.6553E-09 0.81
386 0.6 7.6694E-07 1.6568E-09 0.82
387 0.6 7.6688E-07 1.654E-09 0.83
388 0.6 7.6693E-07 1.6549E-09 0.84
389 0.6 7.6695E-07 1.6526E-09 0.85
390 0.6 7.6694E-07 1.654E-09 0.86
391 0.6 7.6679E-07 1.6527E-09 0.87
392 0.6 7.669E-07 1.6473E-09 0.88
393 0.6 7.6706E-07 1.6498E-09 0.89
394 0.6 7.6685E-07 1.6485E-09 0.9
395 0.6 7.6682E-07 1.6469E-09 0.91
396 0.6 7.6699E-07 1.6459E-09 0.92
397 0.6 7.6699E-07 1.6418E-09 0.93
398 0.6 7.6705E-07 1.6482E-09 0.94
399 0.6 7.6698E-07 1.6516E-09 0.95
400 0.6 7.6708E-07 1.6514E-09 0.96
401 0.6 7.6698E-07 1.6542E-09 0.97
402 0.6 7.6719E-07 1.6616E-09 0.98
403 0.6 7.6698E-07 1.6617E-09 0.99
404 0.6 7.6681E-07 1.658E-09 1
405 0.8 -3.6837E-09 1.0694E-08 0
406 0.8 1.7771E-07 1.0325E-08 0.01
407 0.8 3.5437E-07 1.0047E-08 0.02
408 0.8 5.2686E-07 9.7872E-09 0.03
409 0.8 6.9145E-07 9.514E-09 0.04
410 0.8 8.5241E-07 9.2393E-09 0.05
411 0.8 1.006E-06 8.9905E-09 0.06
412 0.8 1.1556E-06 8.7334E-09 0.07
413 0.8 1.2978E-06 8.5145E-09 0.08
414 0.8 1.4355E-06 8.3041E-09 0.09
415 0.8 1.5666E-06 8.084E-09 0.1
416 0.8 1.6928E-06 7.8884E-09 0.11
417 0.8 1.8124E-06 7.706E-09 0.12
418 0.8 1.9273E-06 7.5209E-09 0.13
419 0.8 2.0359E-06 7.3477E-09 0.14
420 0.8 2.1402E-06 7.1855E-09 0.15
421 0.8 2.2372E-06 7.0476E-09 0.16
422 0.8 2.3297E-06 6.893E-09 0.17
423 0.8 2.4164E-06 6.7463E-09 0.18
424 0.8 2.4984E-06 6.6296E-09 0.19
425 0.8 2.5746E-06 6.5175E-09 0.2
426 0.8 2.6459E-06 6.4075E-09 0.21
427 0.8 2.7117E-06 6.2929E-09 0.22
428 0.8 2.7735E-06 6.2028E-09 0.23
429 0.8 2.829E-06 6.1264E-09 0.24
430 0.8 2.88E-06 6.0474E-09 0.25
431 0.8 2.927E-06 5.9631E-09 0.26
432 0.8 2.969E-06 5.8977E-09 0.27
433 0.8 3.0067E-06 5.8425E-09 0.28
434 0.8 3.0406E-06 5.7911E-09 0.29
435 0.8 3.0709E-06 5.7363E-09 0.3
436 0.8 3.0962E-06 5.697E-09 0.31
437 0.8 3.1186E-06 5.6572E-09 0.32
438 0.8 3.1375E-06 5.6278E-09 0.33
439 0.8 3.1537E-06 5.5981E-09 0.34
440 0.8 3.1671E-06 5.5713E-09 0.35
441 0.8 3.1782E-06 5.5569E-09 0.36
442 0.8 3.1865E-06 5.5422E-09 0.37
443 0.8 3.1942E-06 5.5367E-09 0.38
444 0.8 3.1994E-06 5.5247E-09 0.39
445 0.8 3.204E-06 5.512E-09 0.4
446 0.8 3.2071E-06 5.5133E-09 0.41
447 0.8 3.2096E-06 5.5161E-09 0.42
448 0.8 3.2112E-06 5.4979E-09 0.43
449 0.8 3.2136E-06 5.5017E-09 0.44
450 0.8 3.2139E-06 5.5012E-09 0.45
451 0.8 3.2144E-06 5.5001E-09 0.46
452 0.8 3.2157E-06 5.4919E-09 0.47
453 0.8 3.2154E-06 5.4874E-09 0.48
454 0.8 3.2176E-06 5.491E-09 0.49
455 0.8 3.2166E-06 5.4886E-09 0.5
456 0.8 3.2172E-06 5.4843E-09 0.51
457 0.8 3.2165E-06 5.4811E-09 0.52
458 0.8 3.2167E-06 5.4828E-09 0.53
459 0.8 3.2175E-06 5.4872E-09 0.54
460 0.8 3.2178E-06 5.4911E-09 0.55
461 0.8 3.2176E-06 5.4867E-09 0.56
462 0.8 3.217E-06 5.4916E-09 0.57
463 0.8 3.2174E-06 5.4847E-09 0.58
464 0.8 3.2178E-06 5.4871E-09 0.59
465 0.8 3.2175E-06 5.4835E-09 0.6
466 0.8 3.2176E-06 5.4837E-09 0.61
467 0.8 3.218E-06 5.4816E-09 0.62
468 0.8 3.2175E-06 5.4818E-09 0.63
469 0.8 3.2178E-06 5.4937E-09 0.64
470 0.8 3.2175E-06 5.4997E-09 0.65
471 0.8 3.2182E-06 5.4977E-09 0.66
472 0.8 3.2182E-06 5.4906E-09 0.67
473 0.8 3.2186E-06 5.4829E-09 0.68
474 0.8 3.218E-06 5.4945E-09 0.69
475 0.8 3.2175E-06 5.4985E-09 0.7
476 0.8 3.2186E-06 5.4887E-09 0.71
477 0.8 3.2186E-06 5.4811E-09 0.72
478 0.8 3.2185E-06 5.4726E-09 0.73
479 0.8 3.2182E-06 5.4722E-09 0.74
480 0.8 3.2187E-06 5.4778E-09 0.75
481 0.8 3.219E-06 5.4822E-09 0.76
482 0.8 3.2189E-06 5.4865E-09 0.77
483 0.8 3.2191E-06 5.4899E-09 0.78
484 0.8 3.2185E-06 5.4874E-09 0.79
485 0.8 3.2187E-06 5.4952E-09 0.8
486 0.8 3.219E-06 5.4894E-09 0.81
487 0.8 3.2184E-06 5.4973E-09 0.82
488 0.8 3.2182E-06 5.5032E-09 0.83
489 0.8 3.2182E-06 5.4993E-09 0.84
490 0.8 3.2185E-06 5.4954E-09 0.85
491 0.8 3.2194E-06 5.4927E-09 0.86
492 0.8 3.2186E-06 5.4899E-09 0.87
493 0.8 3.2178E-06 5.4819E-09 0.88
494 0.8 3.2184E-06 5.4842E-09 0.89
495 0.8 3.2185E-06 5.4829E-09 0.9
496 0.8 3.219E-06 5.4884E-09 0.91
497 0.8 3.2188E-06 5.4833E-09 0.92
498 0.8 3.219E-06 5.469E-09 0.93
499 0.8 3.2188E-06 5.4691E-09 0.94
500 0.8 3.2188E-06 5.4713E-09 0.95
501 0.8 3.2192E-06 5.4715E-09 0.96
502 0.8 3.2198E-06 5.4775E-09 0.97
503 0.8 3.219E-06 5.4823E-09 0.98
504 0.8 3.2183E-06 5.4824E-09 0.99
505 0.8 3.2184E-06 5.4776E-09 1
506 1 -1.8531E-08 3.3885E-08 0
507 1 2.6717E-07 3.2986E-08 0.01
508 1 5.4536E-07 3.2092E-08 0.02
509 1 8.2033E-07 3.1181E-08 0.03
510 1 1.08761E-06 3.0378E-08 0.04
511 1 1.3518E-06 2.9691E-08 0.05
512 1 1.6081E-06 2.8881E-08 0.06
513 1 1.8614E-06 2.8175E-08 0.07
514 1 2.1069E-06 2.7499E-08 0.08
515 1 2.3488E-06 2.6853E-08 0.09
516 1 2.5835E-06 2.6238E-08 0.1
517 1 2.8145E-06 2.5632E-08 0.11
518 1 3.0378E-06 2.5053E-08 0.12
519 1 3.2566E-06 2.451E-08 0.13
520 1 3.4692E-06 2.4058E-08 0.14
521 1 3.6778E-06 2.35E-08 0.15
522 1 3.8781E-06 2.3045E-08 0.16
523 1 4.0748E-06 2.2529E-08 0.17
524 1 4.264E-06 2.2098E-08 0.18
525 1 4.4495E-06 2.1692E-08 0.19
526 1 4.6274E-06 2.1271E-08 0.2
527 1 4.801E-06 2.0902E-08 0.21
528 1 4.9679E-06 2.0514E-08 0.22
529 1 5.1301E-06 2.0189E-08 0.23
530 1 5.2855E-06 1.9853E-08 0.24
531 1 5.4362E-06 1.9532E-08 0.25
532 1 5.5802E-06 1.921E-08 0.26
533 1 5.7194E-06 1.8939E-08 0.27
534 1 5.8524E-06 1.8638E-08 0.28
535 1 5.9808E-06 1.8396E-08 0.29
536 1 6.1018E-06 1.8134E-08 0.3
537 1 6.2185E-06 1.7896E-08 0.31
538 1 6.3284E-06 1.7701E-08 0.32
539 1 6.4347E-06 1.7482E-08 0.33
540 1 6.5329E-06 1.728E-08 0.34
541 1 6.6274E-06 1.709E-08 0.35
542 1 6.7156E-06 1.6948E-08 0.36
543 1 6.8E-06 1.6782E-08 0.37
544 1 6.8782E-06 1.6648E-08 0.38
545 1 6.9506E-06 1.6486E-08 0.39
546 1 7.0187E-06 1.6334E-08 0.4
547 1 7.082E-06 1.6257E-08 0.41
548 1 7.1393E-06 1.6118E-08 0.42
549 1 7.1923E-06 1.5999E-08 0.43
550 1 7.2412E-06 1.5883E-08 0.44
551 1 7.2857E-06 1.582E-08 0.45
552 1 7.3245E-06 1.5735E-08 0.46
553 1 7.3602E-06 1.5677E-08 0.47
554 1 7.3906E-06 1.5624E-08 0.48
555 1 7.4197E-06 1.5564E-08 0.49
556 1 7.4437E-06 1.5494E-08 0.5
557 1 7.4643E-06 1.546E-08 0.51
558 1 7.4816E-06 1.5412E-08 0.52
559 1 7.4969E-06 1.5423E-08 0.53
