
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
223 0.4 3.0998E-05 1.529E-06 0.2
224 0.4 3.1921E-05 1.5255E-06 0.21
225 0.4 3.283E-05 1.5117E-06 0.22
226 0.4 3.3776E-05 1.5098E-06 0.23
227 0.4 3.4586E-05 1.5072E-06 0.24
228 0.4 3.5479E-05 1.4992E-06 0.25
229 0.4 3.6311E-05 1.4921E-06 0.26
230 0.4 3.7227E-05 1.4915E-06 0.27
231 0.4 3.8158E-05 1.483E-06 0.28
232 0.4 3.8925E-05 1.4788E-06 0.29
233 0.4 3.9765E-05 1.4775E-06 0.3
234 0.4 4.0675E-05 1.449E-06 0.31
235 0.4 4.1582E-05 1.481E-06 0.32
236 0.4 4.2501E-05 1.4672E-06 0.33
237 0.4 4.325E-05 1.4653E-06 0.34
238 0.4 4.4202E-05 1.4705E-06 0.35
239 0.4 4.5017E-05 1.459E-06 0.36
240 0.4 4.6065E-05 1.4567E-06 0.37
241 0.4 4.6836E-05 1.4553E-06 0.38
242 0.4 4.7752E-05 1.4506E-06 0.39
243 0.4 4.8638E-05 1.4523E-06 0.4
244 0.4 4.944E-05 1.4473E-06 0.41
245 0.4 5.0389E-05 1.4444E-06 0.42
246 0.4 5.1387E-05 1.4479E-06 0.43
247 0.4 5.22E-05 1.4448E-06 0.44
248 0.4 5.3001E-05 1.4385E-06 0.45
249 0.4 5.3932E-05 1.4378E-06 0.46
250 0.4 5.4919E-05 1.4338E-06 0.47
251 0.4 5.5808E-05 1.4305E-06 0.48
252 0.4 5.6752E-05 1.4308E-06 0.49
253 0.4 5.7598E-05 1.4292E-06 0.5
254 0.4 5.8601E-05 1.4283E-06 0.51
255 0.4 5.9544E-05 1.4335E-06 0.52
256 0.4 6.0547E-05 1.4243E-06 0.53
257 0.4 6.141E-05 1.418E-06 0.54
258 0.4 6.2362E-05 1.4176E-06 0.55
259 0.4 6.3417E-05 1.4163E-06 0.56
260 0.4 6.4402E-05 1.4128E-06 0.57
261 0.4 6.5321E-05 1.4095E-06 0.58
262 0.4 6.651E-05 1.408E-06 0.59
263 0.4 6.7403E-05 1.4034E-06 0.6
264 0.4 6.8217E-05 1.4006E-06 0.61
265 0.4 6.9314E-05 1.3977E-06 0.62
266 0.4 7.0482E-05 1.3926E-06 0.63
267 0.4 7.1426E-05 1.3878E-06 0.64
268 0.4 7.2574E-05 1.3902E-06 0.65
269 0.4 7.3634E-05 1.3926E-06 0.66
270 0.4 7.4594E-05 1.373E-06 0.67
271 0.4 7.5682E-05 1.3725E-06 0.68
272 0.4 7.6802E-05 1.3696E-06 0.69
273 0.4 7.773E-05 1.3583E-06 0.7
274 0.4 7.892E-05 1.3536E-06 0.71
275 0.4 8.0139E-05 1.3537E-06 0.72
276 0.4 8.0969E-05 1.3502E-06 0.73
277 0.4 8.2296E-05 1.3509E-06 0.74
278 0.4 8.3364E-05 1.3399E-06 0.75
279 0.4 8.4693E-05 1.3345E-06 0.76
280 0.4 8.5767E-05 1.3229E-06 0.77
281 0.4 8.6975E-05 1.3301E-06 0.78
282 0.4 8.8242E-05 1.3112E-06 0.79
283 0.4 8.9338E-05 1.3079E-06 0.8
284 0.4 9.0712E-05 1.4115E-06 0.81
285 0.4 9.2001E-05 1.2968E-06 0.82
286 0.4 9.3154E-05 1.2961E-06 0.83
287 0.4 9.452E-05 1.2836E-06 0.84
288 0.4 9.5764E-05 1.2716E-06 0.85
289 0.4 9.7167E-05 1.2682E-06 0.86
290 0.4 9.854E-05 1.2728E-06 0.87
291 0.4 9.9906E-05 1.256E-06 0.88
292 0.4 0.000101213 1.2797E-06 0.89
293 0.4 0.000102491 1.2675E-06 0.9
294 0.4 0.000104013 1.255E-06 0.91
295 0.4 0.000104202 1.2224E-06 0.92
296 0.4 0.000106504 1.2175E-06 0.93
297 0.4 0.000108241 1.1751E-06 0.94
298 0.4 0.00010949 1.1664E-06 0.95
299 0.4 0.000111255 1.3697E-06 0.96
300 0.4 0.000112854 1.3512E-06 0.97
301 0.4 0.000113702 1.3446E-06 0.98
302 0.4 0.00011485 1.323E-06 0.99
303 0.4 0.00011754 1.1224E-06 1
304 0.6 -3.4989E-07 3.5174E-06 0
305 0.6 1.2488E-05 3.4936E-06 0.01
306 0.6 2.4936E-05 3.4771E-06 0.02
307 0.6 3.6888E-05 3.4592E-06 0.03
308 0.6 4.8235E-05 3.5618E-06 0.04
309 0.6 5.9102E-05 3.4326E-06 0.05
310 0.6 6.9225E-05 3.4042E-06 0.06
311 0.6 7.9178E-05 3.4727E-06 0.07
312 0.6 8.8223E-05 3.3715E-06 0.08
313 0.6 9.6946E-05 3.3532E-06 0.09
314 0.6 0.000104972 3.3387E-06 0.1
315 0.6 0.000112699 3.3236E-06 0.11
316 0.6 0.00011979 3.308E-06 0.12
317 0.6 0.00012629 3.2922E-06 0.13
318 0.6 0.00013226 3.3094E-06 0.14
319 0.6 0.0001382 3.263E-06 0.15
320 0.6 0.00014348 3.3087E-06 0.16
321 0.6 0.00014849 3.2409E-06 0.17
322 0.6 0.00015313 3.295E-06 0.18
323 0.6 0.00015763 3.2153E-06 0.19
324 0.6 0.00016178 3.2042E-06 0.2
325 0.6 0.00016563 3.3046E-06 0.21
326 0.6 0.00016934 3.1964E-06 0.22
327 0.6 0.00017291 3.1803E-06 0.23
328 0.6 0.00017629 3.173E-06 0.24
329 0.6 0.0001796 3.183E-06 0.25
330 0.6 0.00018261 3.154E-06 0.26
331 0.6 0.00018522 3.1313E-06 0.27
332 0.6 0.00018845 3.126E-06 0.28
